reading_date,daily_avg_power,moving_avg_7day
2007-09-21,0.860,0.910
2007-09-22,0.817,0.918
2007-09-23,0.985,0.894
2007-09-24,0.941,0.884
2007-09-25,1.225,0.943
2007-09-26,1.267,0.995
2007-09-27,0.967,1.009
2007-09-28,1.167,1.053
2007-09-29,1.595,1.164
2007-09-30,1.053,1.174
2007-10-01,1.195,1.210
2007-10-02,1.527,1.253
2007-10-03,0.889,1.199
2007-10-04,1.054,1.212
2007-10-05,0.968,1.183
2007-10-06,1.220,1.129
2007-10-07,1.463,1.188
2007-10-08,0.761,1.126
2007-10-09,1.172,1.075
2007-10-10,0.810,1.064
2007-10-11,1.203,1.085
2007-10-12,1.330,1.137
2007-10-13,1.338,1.154
2007-10-14,1.431,1.149
2007-10-15,0.879,1.166
2007-10-16,1.364,1.194
2007-10-17,1.095,1.234
2007-10-18,1.055,1.213
2007-10-19,1.448,1.230
2007-10-20,1.153,1.204
2007-10-21,1.349,1.192
2007-10-22,1.148,1.230
2007-10-23,1.359,1.230
2007-10-24,1.296,1.258
2007-10-25,1.287,1.291
2007-10-26,0.998,1.227
2007-10-27,1.240,1.240
2007-10-28,0.356,1.098
2007-10-29,0.379,0.988
2007-10-30,0.563,0.874
2007-10-31,0.891,0.816
2007-11-01,0.345,0.682
2007-11-02,1.003,0.682
2007-11-03,0.342,0.554
2007-11-04,1.032,0.651
2007-11-05,1.042,0.745
2007-11-06,1.446,0.871
2007-11-07,1.281,0.927
2007-11-08,1.042,1.027
2007-11-09,1.508,1.099
2007-11-10,1.814,1.309
2007-11-11,1.311,1.349
2007-11-12,1.497,1.414
2007-11-13,1.538,1.427
2007-11-14,1.422,1.447
2007-11-15,1.036,1.446
2007-11-16,1.604,1.460
2007-11-17,1.813,1.460
2007-11-18,1.517,1.490
2007-11-19,1.197,1.447
2007-11-20,1.455,1.435
2007-11-21,1.217,1.406
2007-11-22,1.342,1.449
2007-11-23,1.752,1.470
2007-11-24,1.319,1.400
2007-11-25,0.969,1.322
2007-11-26,1.090,1.306
2007-11-27,1.945,1.376
2007-11-28,1.142,1.366
2007-11-29,1.195,1.345
2007-11-30,1.619,1.326
2007-12-01,2.177,1.448
2007-12-02,2.046,1.602
2007-12-03,1.224,1.621
2007-12-04,1.436,1.548
2007-12-05,1.495,1.599
2007-12-06,1.728,1.675
2007-12-07,1.228,1.619
2007-12-08,1.537,1.528
2007-12-09,1.580,1.461
2007-12-10,1.221,1.461
2007-12-11,1.601,1.484
2007-12-12,1.103,1.428
2007-12-13,1.283,1.365
2007-12-14,1.371,1.385
2007-12-15,1.901,1.437
2007-12-16,1.918,1.485
2007-12-17,1.249,1.489
2007-12-18,1.822,1.521
2007-12-19,1.525,1.581
2007-12-20,1.354,1.591
2007-12-21,1.377,1.592
2007-12-22,1.813,1.580
2007-12-23,1.673,1.545
2007-12-24,1.568,1.590
2007-12-25,1.872,1.597
2007-12-26,1.792,1.635
2007-12-27,1.758,1.693
2007-12-28,2.162,1.805
2007-12-29,2.291,1.874
2007-12-30,1.777,1.889
2007-12-31,1.539,1.884
2008-01-01,1.916,1.891
2008-01-02,1.142,1.798
2008-01-03,1.049,1.697
2008-01-04,1.592,1.615
2008-01-05,1.516,1.504
2008-01-06,1.267,1.432
2008-01-07,1.178,1.380
2008-01-08,1.419,1.309
2008-01-09,1.242,1.323
2008-01-10,1.315,1.361
2008-01-11,1.185,1.303
2008-01-12,1.994,1.371
2008-01-13,2.003,1.476
2008-01-14,1.406,1.509
2008-01-15,1.866,1.573
2008-01-16,1.483,1.607
2008-01-17,1.092,1.575
2008-01-18,1.519,1.623
2008-01-19,1.375,1.535
2008-01-20,1.209,1.421
2008-01-21,1.291,1.405
2008-01-22,1.615,1.369
2008-01-23,1.307,1.344
2008-01-24,1.142,1.351
2008-01-25,1.555,1.356
2008-01-26,1.969,1.441
2008-01-27,1.654,1.505
2008-01-28,1.603,1.549
2008-01-29,1.858,1.584
2008-01-30,1.139,1.560
2008-01-31,1.357,1.591
2008-02-01,1.066,1.521
2008-02-02,2.040,1.531
2008-02-03,1.448,1.502
2008-02-04,1.131,1.434
2008-02-05,1.717,1.414
2008-02-06,1.159,1.417
2008-02-07,1.054,1.374
2008-02-08,1.355,1.415
2008-02-09,1.460,1.332
2008-02-10,1.517,1.342
2008-02-11,1.175,1.348
2008-02-12,1.380,1.300
2008-02-13,1.320,1.323
2008-02-14,1.114,1.332
2008-02-15,1.393,1.337
2008-02-16,1.630,1.361
2008-02-17,1.343,1.336
2008-02-18,1.052,1.319
2008-02-19,1.477,1.333
2008-02-20,1.565,1.368
2008-02-21,1.135,1.370
2008-02-22,1.203,1.343
2008-02-23,1.275,1.293
2008-02-24,0.877,1.226
2008-02-25,0.350,1.126
2008-02-26,0.352,0.965
2008-02-27,0.394,0.798
2008-02-28,0.354,0.686
2008-02-29,0.926,0.647
2008-03-01,0.793,0.578
2008-03-02,0.807,0.568
2008-03-03,0.723,0.621
2008-03-04,1.159,0.736
2008-03-05,1.415,0.882
2008-03-06,1.738,1.080
2008-03-07,1.294,1.133
2008-03-08,1.562,1.242
2008-03-09,1.084,1.282
2008-03-10,1.124,1.339
2008-03-11,1.528,1.392
2008-03-12,1.232,1.366
2008-03-13,1.164,1.284
2008-03-14,1.535,1.318
2008-03-15,1.095,1.252
2008-03-16,1.251,1.275
2008-03-17,1.185,1.284
2008-03-18,1.332,1.256
2008-03-19,0.909,1.210
2008-03-20,0.870,1.168
2008-03-21,1.435,1.154
2008-03-22,1.426,1.201
2008-03-23,1.615,1.253
2008-03-24,1.372,1.280
2008-03-25,1.400,1.290
2008-03-26,1.134,1.322
2008-03-27,0.952,1.334
2008-03-28,1.309,1.316
2008-03-29,1.716,1.357
2008-03-30,1.491,1.339
2008-03-31,0.957,1.280
2008-04-01,1.479,1.291
2008-04-02,1.175,1.297
2008-04-03,0.784,1.273
2008-04-04,1.133,1.248
2008-04-05,1.369,1.198
2008-04-06,1.178,1.153
2008-04-07,1.069,1.169
2008-04-08,1.845,1.222
2008-04-09,0.846,1.175
2008-04-10,1.026,1.210
2008-04-11,1.304,1.234
2008-04-12,1.944,1.316
2008-04-13,1.551,1.369
2008-04-14,1.104,1.374
2008-04-15,1.160,1.277
2008-04-16,1.034,1.303
2008-04-17,0.969,1.295
2008-04-18,1.293,1.294
2008-04-19,1.565,1.239
2008-04-20,1.244,1.196
2008-04-21,0.808,1.153
2008-04-22,1.130,1.149
2008-04-23,0.943,1.136
2008-04-24,0.725,1.101
2008-04-25,0.880,1.042
2008-04-26,0.627,0.908
2008-04-27,0.700,0.831
2008-04-28,0.458,0.780
2008-04-29,1.370,0.815
2008-04-30,0.765,0.789
2008-05-01,0.400,0.743
2008-05-02,1.040,0.766
2008-05-03,0.896,0.804
2008-05-04,1.022,0.850
2008-05-05,0.949,0.920
2008-05-06,1.243,0.902
2008-05-07,0.817,0.909
2008-05-08,1.470,1.062
2008-05-09,1.213,1.087
2008-05-10,1.326,1.149
2008-05-11,1.119,1.162
2008-05-12,1.058,1.178
2008-05-13,1.026,1.147
2008-05-14,1.100,1.187
2008-05-15,0.807,1.093
2008-05-16,1.146,1.083
2008-05-17,1.151,1.058
2008-05-18,1.253,1.077
2008-05-19,0.715,1.028
2008-05-20,1.098,1.039
2008-05-21,0.920,1.013
2008-05-22,0.678,0.994
2008-05-23,1.031,0.978
2008-05-24,1.097,0.970
2008-05-25,1.423,0.995
2008-05-26,0.896,1.020
2008-05-27,1.187,1.033
2008-05-28,0.774,1.012
2008-05-29,0.788,1.028
2008-05-30,0.970,1.019
2008-05-31,1.140,1.025
2008-06-01,1.284,1.006
2008-06-02,0.746,0.984
2008-06-03,1.110,0.973
2008-06-04,1.103,1.020
2008-06-05,0.778,1.019
2008-06-06,0.846,1.001
2008-06-07,1.307,1.025
2008-06-08,1.071,0.994
2008-06-09,0.921,1.019
2008-06-10,0.741,0.967
2008-06-11,0.780,0.920
2008-06-12,0.875,0.934
2008-06-13,1.302,1.000
2008-06-14,0.962,0.950
2008-06-15,1.590,1.024
2008-06-16,0.905,1.022
2008-06-17,0.795,1.030
2008-06-18,1.315,1.106
2008-06-19,1.103,1.139
2008-06-20,1.164,1.119
2008-06-21,1.204,1.154
2008-06-22,1.088,1.082
2008-06-23,0.869,1.077
2008-06-24,1.218,1.137
2008-06-25,0.876,1.075
2008-06-26,0.733,1.022
2008-06-27,1.219,1.030
2008-06-28,0.839,0.978
2008-06-29,0.520,0.897
2008-06-30,0.558,0.852
2008-07-01,0.844,0.799
2008-07-02,0.797,0.787
2008-07-03,0.763,0.791
2008-07-04,0.654,0.711
2008-07-05,1.020,0.737
2008-07-06,1.254,0.841
2008-07-07,0.683,0.859
2008-07-08,0.782,0.850
2008-07-09,0.638,0.828
2008-07-10,0.869,0.843
2008-07-11,0.871,0.874
2008-07-12,0.923,0.860
2008-07-13,0.872,0.805
2008-07-14,0.790,0.821
2008-07-15,0.803,0.824
2008-07-16,0.748,0.839
2008-07-17,0.916,0.846
2008-07-18,0.876,0.847
2008-07-19,0.933,0.848
2008-07-20,0.654,0.817
2008-07-21,0.803,0.819
2008-07-22,0.514,0.778
2008-07-23,0.655,0.764
2008-07-24,0.759,0.742
2008-07-25,0.601,0.703
2008-07-26,0.566,0.650
2008-07-27,0.797,0.671
2008-07-28,0.573,0.638
2008-07-29,0.810,0.680
2008-07-30,0.903,0.716
2008-07-31,0.967,0.745
2008-08-01,0.514,0.733
2008-08-02,0.351,0.702
2008-08-03,0.351,0.638
2008-08-04,0.782,0.668
2008-08-05,0.574,0.635
2008-08-06,0.226,0.538
2008-08-07,0.233,0.433
2008-08-08,0.210,0.390
2008-08-09,0.249,0.375
2008-08-10,0.244,0.360
2008-08-11,0.258,0.285
2008-08-12,0.201,0.232
2008-08-13,0.196,0.227
2008-08-14,0.188,0.221
2008-08-15,0.190,0.218
2008-08-16,0.191,0.210
2008-08-17,0.191,0.202
2008-08-18,0.190,0.192
2008-08-19,0.191,0.191
2008-08-20,0.186,0.190
2008-08-21,0.181,0.189
2008-08-22,0.186,0.188
2008-08-23,0.177,0.186
2008-08-24,0.177,0.184
2008-08-25,0.174,0.182
2008-08-26,0.179,0.180
2008-08-27,0.179,0.179
2008-08-28,0.186,0.180
2008-08-29,0.186,0.180
2008-08-30,0.188,0.181
2008-08-31,1.043,0.305
2008-09-01,0.866,0.404
2008-09-02,0.961,0.516
2008-09-03,0.964,0.628
2008-09-04,0.851,0.723
2008-09-05,0.607,0.783
2008-09-06,1.298,0.941
2008-09-07,0.953,0.929
2008-09-08,0.909,0.935
2008-09-09,0.805,0.912
2008-09-10,0.903,0.904
2008-09-11,0.714,0.884
2008-09-12,0.967,0.936
2008-09-13,1.133,0.912
2008-09-14,1.095,0.932
2008-09-15,1.179,0.971
2008-09-16,0.849,0.977
2008-09-17,1.055,0.999
2008-09-18,1.045,1.046
2008-09-19,1.055,1.059
2008-09-20,0.906,1.026
2008-09-21,1.065,1.022
2008-09-22,0.943,0.988
2008-09-23,0.856,0.989
2008-09-24,1.193,1.009
2008-09-25,0.786,0.972
2008-09-26,0.994,0.963
2008-09-27,1.477,1.045
2008-09-28,1.202,1.065
2008-09-29,1.043,1.079
2008-09-30,0.955,1.093
2008-10-01,1.300,1.108
2008-10-02,0.934,1.129
2008-10-03,1.120,1.147
2008-10-04,1.459,1.145
2008-10-05,1.076,1.127
2008-10-06,0.989,1.119
2008-10-07,1.199,1.154
2008-10-08,1.292,1.153
2008-10-09,1.378,1.216
2008-10-10,1.054,1.207
2008-10-11,1.159,1.164
2008-10-12,1.325,1.199
2008-10-13,1.015,1.203
2008-10-14,1.117,1.192
2008-10-15,1.498,1.221
2008-10-16,1.100,1.181
2008-10-17,1.296,1.216
2008-10-18,1.555,1.272
2008-10-19,1.369,1.279
2008-10-20,1.158,1.299
2008-10-21,1.433,1.344
2008-10-22,1.143,1.294
2008-10-23,1.271,1.318
2008-10-24,1.481,1.344
2008-10-25,1.090,1.278
2008-10-26,0.364,1.134
2008-10-27,0.364,1.021
2008-10-28,0.922,0.948
2008-10-29,1.120,0.945
2008-10-30,0.763,0.872
2008-10-31,0.893,0.788
2008-11-01,0.577,0.715
2008-11-02,0.632,0.753
2008-11-03,0.589,0.785
2008-11-04,1.085,0.808
2008-11-05,2.177,0.959
2008-11-06,1.103,1.008
2008-11-07,1.124,1.041
2008-11-08,1.204,1.131
2008-11-09,1.791,1.296
2008-11-10,1.459,1.420
2008-11-11,1.706,1.509
2008-11-12,1.521,1.415
2008-11-13,0.860,1.380
2008-11-14,1.126,1.381
2008-11-15,2.105,1.510
2008-11-16,1.643,1.488
2008-11-17,1.058,1.431
2008-11-18,1.215,1.361
2008-11-19,1.278,1.326
2008-11-20,1.175,1.371
2008-11-21,1.162,1.377
2008-11-22,1.188,1.246
2008-11-23,2.366,1.349
2008-11-24,2.231,1.517
2008-11-25,1.877,1.611
2008-11-26,1.053,1.579
2008-11-27,1.640,1.646
2008-11-28,1.310,1.667
2008-11-29,1.691,1.738
2008-11-30,1.668,1.638
2008-12-01,1.123,1.480
2008-12-02,1.245,1.390
2008-12-03,1.219,1.414
2008-12-04,1.207,1.352
2008-12-05,1.430,1.369
2008-12-06,1.753,1.378
2008-12-07,1.713,1.384
2008-12-08,1.298,1.409
2008-12-09,1.391,1.430
2008-12-10,1.541,1.476
2008-12-11,0.995,1.446
2008-12-12,1.261,1.422
2008-12-13,1.268,1.352
2008-12-14,1.390,1.306
2008-12-15,1.247,1.299
2008-12-16,1.248,1.278
2008-12-17,1.457,1.267
2008-12-18,1.206,1.297
2008-12-19,1.307,1.303
2008-12-20,1.558,1.345
2008-12-21,1.836,1.409
2008-12-22,1.400,1.430
2008-12-23,1.249,1.430
2008-12-24,0.882,1.348
2008-12-25,0.737,1.281
2008-12-26,0.850,1.216
2008-12-27,2.064,1.288
2008-12-28,1.091,1.182
2008-12-29,0.386,1.037
2008-12-30,0.830,0.977
2008-12-31,1.364,1.046
2009-01-01,0.977,1.080
2009-01-02,1.616,1.190
2009-01-03,1.329,1.085
2009-01-04,1.347,1.121
2009-01-05,1.114,1.225
2009-01-06,1.174,1.274
2009-01-07,1.445,1.286
2009-01-08,1.134,1.308
2009-01-09,1.242,1.255
2009-01-10,1.460,1.274
2009-01-11,1.372,1.277
2009-01-12,1.104,1.276
2009-01-13,1.516,1.325
2009-01-14,1.234,1.295
2009-01-15,1.086,1.288
2009-01-16,1.921,1.385
2009-01-17,2.304,1.505
2009-01-18,2.190,1.622
2009-01-19,1.180,1.633
2009-01-20,1.207,1.589
2009-01-21,1.208,1.585
2009-01-22,0.859,1.553
2009-01-23,1.327,1.468
2009-01-24,1.528,1.357
2009-01-25,1.975,1.326
2009-01-26,1.163,1.324
2009-01-27,0.990,1.293
2009-01-28,1.890,1.390
2009-01-29,1.093,1.424
2009-01-30,1.430,1.438
2009-01-31,2.301,1.549
2009-02-01,1.289,1.451
2009-02-02,1.113,1.444
2009-02-03,1.297,1.488
2009-02-04,1.709,1.462
2009-02-05,1.145,1.469
2009-02-06,1.422,1.468
2009-02-07,2.175,1.450
2009-02-08,1.516,1.483
2009-02-09,1.185,1.493
2009-02-10,1.350,1.500
2009-02-11,1.833,1.518
2009-02-12,1.367,1.550
2009-02-13,1.174,1.514
2009-02-14,1.622,1.435
2009-02-15,1.101,1.376
2009-02-16,0.916,1.338
2009-02-17,0.552,1.224
2009-02-18,0.574,1.044
2009-02-19,0.512,0.922
2009-02-20,1.306,0.941
2009-02-21,0.914,0.839
2009-02-22,1.554,0.904
2009-02-23,1.898,1.044
2009-02-24,1.238,1.142
2009-02-25,0.812,1.177
2009-02-26,0.803,1.218
2009-02-27,1.409,1.233
2009-02-28,1.132,1.264
2009-03-01,1.715,1.287
2009-03-02,1.026,1.162
2009-03-03,1.284,1.169
2009-03-04,1.279,1.236
2009-03-05,1.001,1.264
2009-03-06,1.239,1.239
2009-03-07,1.178,1.246
2009-03-08,1.637,1.235
2009-03-09,1.171,1.256
2009-03-10,1.275,1.254
2009-03-11,1.671,1.310
2009-03-12,1.311,1.354
2009-03-13,1.004,1.321
2009-03-14,1.492,1.366
2009-03-15,1.349,1.325
2009-03-16,0.928,1.290
2009-03-17,1.342,1.299
2009-03-18,1.007,1.205
2009-03-19,0.827,1.136
2009-03-20,1.017,1.137
2009-03-21,1.340,1.116
2009-03-22,1.173,1.091
2009-03-23,0.900,1.087
2009-03-24,1.154,1.060
2009-03-25,1.277,1.098
2009-03-26,0.841,1.100
2009-03-27,1.190,1.125
2009-03-28,1.570,1.158
2009-03-29,1.539,1.210
2009-03-30,1.026,1.228
2009-03-31,1.266,1.244
2009-04-01,1.140,1.225
2009-04-02,1.142,1.268
2009-04-03,0.947,1.233
2009-04-04,1.522,1.226
2009-04-05,0.955,1.143
2009-04-06,1.009,1.140
2009-04-07,1.000,1.102
2009-04-08,1.066,1.091
2009-04-09,1.313,1.116
2009-04-10,1.279,1.163
2009-04-11,1.710,1.190
2009-04-12,1.487,1.266
2009-04-13,1.112,1.281
2009-04-14,1.043,1.287
2009-04-15,0.844,1.255
2009-04-16,1.086,1.223
2009-04-17,1.419,1.243
2009-04-18,1.050,1.149
2009-04-19,0.893,1.064
2009-04-20,1.032,1.053
2009-04-21,1.316,1.092
2009-04-22,1.039,1.119
2009-04-23,0.793,1.077
2009-04-24,0.829,0.993
2009-04-25,1.404,1.044
2009-04-26,1.237,1.093
2009-04-27,0.939,1.080
2009-04-28,1.185,1.061
2009-04-29,1.156,1.078
2009-04-30,1.274,1.146
2009-05-01,1.051,1.178
2009-05-02,0.968,1.116
2009-05-03,1.117,1.099
2009-05-04,1.158,1.130
2009-05-05,1.202,1.132
2009-05-06,0.937,1.101
2009-05-07,0.703,1.020
2009-05-08,1.290,1.054
2009-05-09,0.876,1.041
2009-05-10,1.367,1.076
2009-05-11,1.054,1.061
2009-05-12,1.129,1.051
2009-05-13,0.866,1.041
2009-05-14,1.116,1.099
2009-05-15,0.988,1.056
2009-05-16,1.394,1.130
2009-05-17,1.072,1.088
2009-05-18,0.840,1.058
2009-05-19,1.123,1.057
2009-05-20,0.908,1.063
2009-05-21,1.094,1.060
2009-05-22,0.746,1.025
2009-05-23,1.063,0.978
2009-05-24,0.894,0.953
2009-05-25,0.940,0.967
2009-05-26,0.931,0.939
2009-05-27,1.072,0.963
2009-05-28,0.819,0.924
2009-05-29,0.863,0.940
2009-05-30,1.152,0.953
2009-05-31,0.665,0.920
2009-06-01,1.002,0.929
2009-06-02,0.757,0.904
2009-06-03,0.942,0.886
2009-06-04,0.719,0.872
2009-06-05,0.854,0.870
2009-06-06,1.025,0.852
2009-06-07,0.838,0.877
2009-06-08,0.819,0.851
2009-06-09,0.926,0.875
2009-06-10,1.113,0.899
2009-06-11,0.903,0.925
2009-06-12,0.765,0.913
2009-06-13,0.474,0.834
2009-06-15,0.784,0.826
2009-06-16,1.048,0.859
2009-06-17,0.686,0.825
2009-06-18,0.810,0.781
2009-06-19,0.755,0.760
2009-06-20,0.769,0.761
2009-06-21,0.594,0.778
2009-06-22,0.760,0.774
2009-06-23,0.722,0.728
2009-06-24,1.066,0.782
2009-06-25,0.536,0.743
2009-06-26,0.887,0.762
2009-06-27,1.187,0.822
2009-06-28,0.736,0.842
2009-06-29,0.701,0.833
2009-06-30,0.828,0.849
2009-07-01,0.846,0.817
2009-07-02,0.863,0.864
2009-07-03,0.600,0.823
2009-07-04,0.860,0.776
