day_of_week,hour,avg_active_power,peak_active_power,avg_water_heater,avg_kitchen,total_readings
4,3,0.399,2.518,1.388,0.007,12240
4,4,0.426,3.132,1.838,0.036,12240
4,5,0.446,2.530,2.308,0.000,12180
4,6,0.889,8.244,5.025,0.000,12180
4,7,1.684,7.482,12.553,0.350,12180
4,8,1.578,8.126,14.584,1.362,12178
4,9,1.295,4.954,13.437,1.390,12180
4,10,1.120,6.332,11.904,0.346,12180
4,11,1.007,6.024,9.933,0.421,12178
4,12,0.911,5.778,8.179,0.374,12180
4,13,0.824,6.058,6.520,0.539,12180
4,14,0.706,4.774,5.067,0.440,12179
4,15,0.649,7.570,3.614,0.439,12180
4,16,0.635,7.574,3.501,0.116,12180
4,17,0.699,7.336,3.241,0.052,12180
4,18,1.071,6.298,4.262,0.898,12180
4,19,1.740,7.960,6.619,2.919,12247
4,20,1.964,8.584,8.654,3.295,12300
4,21,1.867,9.410,6.892,3.060,12299
4,22,1.348,6.972,5.395,1.966,12298
4,23,0.819,6.546,3.871,0.665,12300
5,0,0.567,5.806,2.843,0.210,12300
5,1,0.467,3.658,2.300,0.083,12300
5,2,0.412,3.148,1.689,0.000,12300
5,3,0.416,4.070,1.605,0.030,12300
5,4,0.429,3.660,1.973,0.040,12300
5,5,0.431,3.506,2.076,0.070,12300
5,6,0.905,7.142,5.167,0.051,12300
5,7,1.705,7.238,12.777,0.748,12300
5,8,1.577,7.244,14.391,1.792,12300
5,9,1.403,6.426,14.264,1.680,12299
5,10,1.275,8.244,13.179,0.417,12300
5,11,1.156,6.686,11.115,0.428,12300
5,12,1.150,9.224,9.544,0.693,12300
5,13,1.039,7.446,8.272,0.596,12300
5,14,1.001,6.588,7.696,0.801,12300
5,15,0.943,8.708,7.353,0.799,12300
5,16,0.886,8.446,6.247,0.481,12300
5,17,1.037,9.590,6.721,0.438,12300
5,18,1.193,7.600,5.623,0.924,12298
5,19,1.567,8.108,6.027,2.185,12297
5,20,1.702,9.098,7.381,3.017,12300
5,21,1.654,7.884,6.564,2.753,12243
5,22,1.297,6.976,4.622,2.064,12236
5,23,0.833,6.216,2.759,0.708,12240
6,0,0.648,6.962,2.657,0.480,12171
6,1,0.531,4.348,2.233,0.223,12120
6,2,0.464,3.990,1.889,0.041,12120
6,3,0.459,3.648,1.905,0.106,12108
6,4,0.439,3.710,1.641,0.114,12000
6,5,0.481,3.878,2.531,0.070,12000
6,6,0.586,5.690,3.447,0.036,12000
6,7,1.265,8.114,8.512,0.006,11999
6,8,1.420,7.796,10.915,0.722,12000
6,9,1.385,7.732,12.554,1.164,11998
6,10,1.467,9.078,11.020,2.726,11964
6,11,1.470,8.504,9.544,3.102,11988
6,12,1.358,8.724,8.898,2.395,11999
6,13,1.461,8.540,10.581,2.245,12000
6,14,1.518,8.126,10.296,3.379,11999
6,15,1.367,7.566,8.859,3.536,12000
6,16,1.376,7.314,8.957,2.733,11999
6,17,1.576,8.784,9.495,2.454,12031
6,18,1.848,9.724,9.977,2.665,12027
6,19,2.069,9.666,10.746,3.521,12060
6,20,1.936,9.036,10.581,3.062,12060
6,21,1.772,7.564,9.176,2.479,12060
6,22,1.647,9.272,7.404,2.568,12060
6,23,1.433,8.746,6.202,1.649,12060
7,0,1.132,7.698,4.438,0.909,12060
7,1,0.912,10.290,3.597,1.145,12060
7,2,0.727,6.248,3.113,0.742,12060
7,3,0.599,4.426,2.079,0.229,12060
7,4,0.541,4.796,1.715,0.144,12060
7,5,0.544,6.376,2.043,0.111,12060
7,6,0.572,6.722,1.781,0.179,12060
7,7,0.659,7.142,2.408,0.132,12060
7,8,0.898,7.552,3.940,0.317,12060
7,9,1.098,7.166,6.088,0.702,12059
7,10,1.275,6.714,7.903,2.087,12060
7,11,1.457,8.494,9.274,3.693,12060
7,12,1.555,9.122,9.223,4.591,12060
7,13,1.509,9.590,10.370,3.281,12081
7,14,1.525,8.418,10.214,2.935,12120
7,15,1.370,8.594,7.359,3.367,12118
7,16,1.263,8.318,5.703,1.950,12077
7,17,1.394,11.122,6.203,1.277,12050
7,18,1.739,7.774,7.331,2.543,12064
7,19,2.028,10.670,8.402,3.466,12111
7,20,2.157,10.348,9.558,3.363,12118
7,21,2.093,8.592,8.639,3.270,12151
7,22,1.388,8.106,5.944,1.904,12180
7,23,0.835,7.548,4.543,0.725,12180
